Date,HV_BULL,HV_BEAR,LV_BEAR,LV_BULL
2011-07-29,9.366836451818831e-05,5.697416477238777e-05,0.999849357467571,3.0350278668458113e-12
2011-08-01,0.00012884500448419022,0.0011528694256458787,0.9987182853430175,2.2647119430938607e-10
2011-08-02,2.9173879152759826e-12,0.034676785409459704,0.9653232145876037,2.9260411383301545e-15
2011-08-03,8.676235640616537e-10,0.20237032199740623,0.7976296771350528,1.2861304093496627e-15
2011-08-04,2.7319860102944464e-32,0.9999926901340367,7.309865708929379e-06,3.323031141968273e-31
2011-08-05,1.1936598337631812e-31,0.999999999908141,9.221820028286292e-11,1.3647827209899413e-37
2011-08-08,1.0548051782953689e-88,1.0,4.400719478181987e-41,4.0603585005074627e-100
2011-08-09,7.57083249468274e-40,1.0,2.54437102230139e-54,7.781721944972912e-122
2011-08-10,1.127313309450372e-57,1.0,4.764273413123818e-60,4.400000442544495e-121
2011-08-11,6.888834853271807e-47,1.0,8.553607093152168e-68,2.20002183239725e-148
2011-08-12,1.6131552633981099e-46,1.0,3.115115028497523e-67,5.415770599813873e-137
2011-08-15,2.169248749650699e-50,1.0,3.0864744280632637e-73,2.3804883939686153e-145
2011-08-16,4.0508068335537046e-48,1.0,2.5056503569465693e-68,2.5638852926859187e-143
2011-08-17,4.2523967292476884e-48,1.0,2.0172643925389707e-68,3.4653656111787425e-141
2011-08-18,1.4349746348822843e-67,1.0,5.179993419629369e-75,2.0569553258383423e-159
2011-08-19,4.464867821331548e-65,1.0,1.1790376136450713e-74,2.377189361710941e-177
2011-08-22,2.279761474525242e-59,1.0,7.581883016324982e-74,4.5549038089079223e-172
2011-08-23,3.432742677314835e-60,1.0,2.79862269556749e-84,1.7366250200470952e-181
2011-08-24,1.3347909331517086e-60,1.0,8.143062355426494e-85,5.316458734347407e-183
2011-08-25,3.7700318409446826e-62,1.0,6.591846726943205e-83,9.811186031568084e-184
2011-08-26,2.9259817345033797e-63,1.0,1.088201565445558e-87,1.9337042372918677e-191
2011-08-29,2.703650202479454e-75,1.0,1.7318120203106936e-100,1.000866436842642e-212
2011-08-30,2.767259223800868e-70,1.0,1.5462817153905953e-95,1.8101913816822295e-217
2011-08-31,5.056789991392421e-68,1.0,4.643842245671316e-93,1.2111912638332665e-209
2011-09-01,7.046092145350898e-62,1.0,1.1769245565966063e-82,1.286977885889191e-190
2011-09-02,4.202961532111649e-71,1.0,1.2258709282390991e-85,4.509216370383346e-193
2011-09-06,7.597167406097856e-49,1.0,2.7959595577576846e-63,1.630780133543442e-156
2011-09-07,6.327803849708027e-38,1.0,1.3423650348218698e-58,2.3639409341914895e-119
2011-09-08,2.422211389536766e-34,1.0,1.2374300379888484e-50,1.167073420134055e-95
2011-09-09,2.7188843942749494e-36,1.0,1.5087704738140008e-46,3.006071281585367e-86
2011-09-12,1.2516281322005357e-31,1.0,4.7296123462939e-47,1.5672669977725593e-86
2011-09-13,2.2780014242702545e-28,1.0,7.314278249120091e-44,1.9926968113862985e-78
2011-09-14,1.5230105263601456e-28,1.0,8.278197455010033e-42,5.4618922868984374e-76
2011-09-15,2.9664703610224335e-29,1.0,6.8476971168172324e-43,1.8337195826623285e-77
2011-09-16,8.865338169491666e-22,1.0,2.708651583109854e-34,4.0076782220601065e-59
2011-09-19,7.266302625295603e-23,1.0,3.611710687234267e-25,3.987788641233421e-51
2011-09-20,9.18275081395916e-26,1.0,7.173325553287474e-27,5.180242165276509e-55
2011-09-21,4.493363693130763e-33,1.0,2.2151904500329674e-29,4.210919131083086e-59
2011-09-22,1.0388060152273148e-39,1.0,1.665495897010379e-39,6.770010682025783e-73
2011-09-23,1.385502911419926e-26,1.0,4.6312141279926503e-38,3.2600144980765025e-71
2011-09-26,1.4581446530780828e-21,1.0,4.289462492991166e-30,6.990947984302983e-55
2011-09-27,2.1836285828072184e-18,1.0,3.3988230080714896e-23,1.0534078452016589e-42
2011-09-28,4.220014039887757e-26,1.0,4.33327019495814e-20,2.4412330813836513e-46
2011-09-29,9.435456379100136e-22,1.0,1.5297151822543753e-29,1.7485896978985977e-54
2011-09-30,4.782471419022401e-27,1.0,6.8906711004615025e-25,1.0465815006297385e-52
2011-10-03,1.7097237810218545e-46,1.0,1.1226954809113245e-36,1.631695663904112e-74
2011-10-04,1.1603154943427104e-32,1.0,9.646045506325372e-52,2.415355378209479e-103
2011-10-05,2.5189016516858825e-29,1.0,5.406281387681046e-47,3.065401954193581e-82
2011-10-06,1.7078801199598247e-31,1.0,2.236399802274932e-46,1.9886547323723103e-82
2011-10-07,1.775158414629319e-30,1.0,4.0886781962582643e-44,8.472827878000731e-81
2011-10-10,3.7096439119397583e-35,1.0,1.0772021063893091e-51,1.1930711840656092e-91
2011-10-11,1.5086373995724938e-33,1.0,1.797952845734864e-53,7.949593789835886e-94
2011-10-12,5.0510418176181295e-34,1.0,2.344786273930648e-53,1.0520334700147405e-92
2011-10-13,2.6838948269546765e-32,1.0,2.5202807899408114e-51,1.8721692484447324e-90
2011-10-14,6.5174631037092e-34,1.0,3.8313525659320625e-52,6.841271147981362e-92
2011-10-17,1.4259001824029784e-36,1.0,8.974558849212032e-52,1.2337507093592856e-95
2011-10-18,1.2056047515947113e-35,1.0,5.082034736545702e-56,1.2714092187455311e-101
